regime,unit_id,phase,R_final,recovery_slope,structure_value,structure_kind,structure_available,optical_source,label_method,label_confidence
postfire,CA3780912030120160926,stable_restoration,0.7238,0.0658,7.57,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3611312128920160604,stable_restoration,1.1192,0.0588,7.44,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4407812030820160929,degraded,0.2876,0.0366,6.72,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4272312062320160817,low_severity,,,1.76,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4128112031520160917,stable_restoration,0.6912,0.1037,3.33,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4036812080220160911,early_restoration,0.3937,0.0597,6.69,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3895812085620160628,early_restoration,0.6476,0.0764,23.35,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3710912184820160926,stable_restoration,0.9169,0.1036,13.92,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3646112190120160722,stable_restoration,1.1885,0.134,13.09,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4448812148120160607,stable_restoration,0.728,0.0632,4.48,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4292412221220160728,stable_restoration,0.7271,0.081,4.89,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4563012190420170902,early_restoration,0.4921,0.064,11.92,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4540111652720170908,stable_restoration,0.7748,0.106,14.52,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4554811595020170801,stable_restoration,0.7894,0.1062,9.33,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4601011688120170715,low_severity,,,3.67,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4560011651620170711,low_severity,,,4.52,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4603611671720170715,low_severity,,,4.03,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4443511721920170803,low_severity,,,5.78,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4253511698720170918,low_severity,,,0.25,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4462111846220170616,low_severity,,,11.37,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4372111979120170504,early_restoration,0.5562,0.0401,11.49,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4119012308020171102,low_severity,,,12.0,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4305111881420170401,low_severity,,,2.7,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4179612108320170813,low_severity,,,0.83,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3744911965020170829,stable_restoration,0.7902,0.108,10.93,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3721711946920170903,early_restoration,0.6235,0.0757,10.63,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3753811959820170813,early_restoration,0.4903,0.0733,17.56,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3764411961820170801,stable_restoration,0.8044,0.1087,19.72,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3837311989620170819,early_restoration,0.5675,0.0892,2.86,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,NV3882011959620171003,low_severity,,,4.79,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3761912020720170716,stable_restoration,0.9069,0.093,3.54,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3812011994120170904,stable_restoration,0.6626,0.1108,16.55,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3606812023620170420,low_severity,,,3.92,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4447912049720170909,stable_restoration,0.8178,0.1119,3.41,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4130712105620170725,stable_restoration,0.7403,0.1049,5.08,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4146612032120170803,early_restoration,0.5691,0.0886,1.94,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3990612097220170729,early_restoration,0.3773,0.0589,24.26,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3946112141320170707,stable_restoration,0.6686,0.0563,7.42,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3839112224120171009,early_restoration,0.5079,0.0547,6.77,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3838712252020171009,early_restoration,0.544,0.0617,8.08,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3957512131620170829,early_restoration,0.4714,0.0453,10.45,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4470812185620170724,degraded,-0.1285,-0.0273,5.05,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4474912191520170811,degraded,-0.3,-0.0491,10.92,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4400912217020170804,degraded,0.1879,0.0118,31.99,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4425712174320170811,early_restoration,0.5768,0.0915,4.52,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4410112190920170810,degraded,0.1493,0.0232,5.78,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4410112199420170810,degraded,0.0143,0.0043,27.73,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4412912209720170811,degraded,0.0855,0.0069,19.15,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4404612205520170810,degraded,0.0751,0.0154,20.91,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4279812231820170725,early_restoration,0.3632,0.0624,12.51,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4254212214420170810,degraded,0.1978,0.0468,11.95,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4298012228220170729,degraded,0.2014,0.0404,4.48,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4311112241120170811,degraded,-0.0686,0.0034,28.34,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4303712246520170809,degraded,0.2074,0.0305,20.63,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4294112254720170808,early_restoration,0.4414,0.0567,31.15,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4309112272520170810,stable_restoration,0.673,0.0853,15.69,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4318212230620170809,degraded,-0.0041,0.013,18.04,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4340212236220170810,degraded,0.2801,0.039,13.12,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4320912249720170811,degraded,0.2192,0.0358,16.33,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4330612262220170812,early_restoration,0.3323,0.0423,14.09,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4331112282720170810,degraded,-0.1661,-0.0232,10.46,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4375212142520170829,early_restoration,0.6417,0.1124,4.16,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4143512316220170626,early_restoration,0.6473,0.0921,12.93,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4018412336320170808,early_restoration,0.3571,0.0439,9.65,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4011512332020170808,degraded,0.064,-0.0184,9.06,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4077112312420170831,early_restoration,0.5581,0.0754,15.86,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4083912297820170808,early_restoration,0.5738,0.083,20.89,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4022812303620170913,early_restoration,0.5004,0.0755,13.65,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,WA4610611995920180908,low_severity,,,1.73,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,WA4567012103420180801,low_severity,,,4.27,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4597411899820180729,low_severity,,,3.31,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,WA4597011911020180622,stable_restoration,1.162,0.0364,1.39,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4548011857620180810,low_severity,,,4.32,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4603311692920180809,low_severity,,,4.24,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4458311709720180915,low_severity,,,6.85,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4490011637920180515,low_severity,,,15.44,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4531411905220180816,low_severity,,,2.76,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4427411715120180716,low_severity,,,5.47,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4447411719020180725,low_severity,,,4.87,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4533411639120180723,early_restoration,0.5121,0.0871,11.29,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4451711685020180725,low_severity,,,3.77,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4467611644820180726,stable_restoration,0.9598,0.0585,2.84,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4511811697520181030,low_severity,,,8.94,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4382511970020181020,low_severity,,,6.89,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4077412213620180201,low_severity,,,4.96,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4192012170520180516,low_severity,,,2.46,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4421611929720181025,low_severity,,,11.31,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4261612132420180510,low_severity,,,9.7,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4441412049420180508,low_severity,,,8.06,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4193212150720180221,low_severity,,,2.17,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4463911860120181026,low_severity,,,5.53,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3641011873720181004,degraded,0.1634,0.033,7.88,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3756511912720180611,early_restoration,0.5475,0.1116,11.57,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3765211988120180713,stable_restoration,0.7914,0.1008,14.66,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3834911992920180801,early_restoration,0.5138,0.0983,9.66,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3839611945120180904,early_restoration,0.5906,0.1667,5.83,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4265012082720180815,early_restoration,0.3709,0.0879,5.47,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4139512105720180815,degraded,0.2423,0.0819,1.61,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4063012088020180727,early_restoration,0.6441,0.1217,3.12,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3982012144020181108,early_restoration,0.5537,0.1049,8.85,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3927312065620180903,early_restoration,0.592,0.1062,9.35,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4408412223820180819,degraded,0.1344,0.0193,25.42,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4258012299020180822,early_restoration,0.4233,0.0836,16.09,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4307312203920180715,degraded,0.2164,0.0638,9.36,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4275312292520180715,degraded,0.3089,0.0555,9.76,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4293812266120180715,early_restoration,0.3337,0.0544,22.6,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4282612280720180716,early_restoration,0.4613,0.0788,13.75,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4209912285420180715,early_restoration,0.4506,0.0657,17.14,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4061612352420180904,early_restoration,0.5425,0.1052,4.91,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4089112222820180809,early_restoration,0.4751,0.0853,19.66,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4094312242720180905,early_restoration,0.4537,0.0791,9.46,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4517811742720190728,degraded,0.2852,0.0938,7.13,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4596611865220190731,low_severity,,,1.27,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4248911688820190828,stable_restoration,1.1596,0.2803,3.32,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4414911858320190930,stable_restoration,0.6863,0.1713,4.32,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4137212197020190922,degraded,0.2155,0.0561,14.08,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4265012175420190503,low_severity,,,9.7,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4304512197320190915,stable_restoration,0.9345,0.188,12.12,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3719112078820191002,low_severity,,,1.65,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4441112073920191031,low_severity,,,9.53,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4442412039420190903,low_severity,,,7.72,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4359512099520190923,low_severity,,,12.34,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4287611889620190315,low_severity,,,1.24,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4383111898220190520,low_severity,,,9.75,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3755212015420190901,stable_restoration,0.8016,0.1692,4.16,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3760511996620191006,early_restoration,0.634,0.1305,7.8,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3782611887220190726,low_severity,,,6.2,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4428511846020190809,early_restoration,0.4815,0.1216,9.64,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4005312066920190904,early_restoration,0.652,0.1422,8.06,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3872412014620191010,early_restoration,0.4834,0.1154,12.66,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4504511946220190805,degraded,-0.218,-0.0255,7.59,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4186612267020190905,early_restoration,0.5301,0.1182,10.48,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4010912278920190905,stable_restoration,0.7087,0.1764,9.39,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA4088712301420190905,stable_restoration,0.6792,0.1408,8.81,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
afforestation,SAIH_AFF_r00c35,early_restoration,0.3817,0.00627,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c36,early_restoration,0.522,0.01098,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c37,stable_restoration,0.8892,0.0177,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c38,stable_restoration,0.7911,0.00351,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c39,stable_restoration,0.9472,0.00578,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c40,stable_restoration,0.9889,0.00536,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c41,stable_restoration,0.8764,0.00855,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c42,stable_restoration,0.989,0.00125,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c43,stable_restoration,1.0057,0.00347,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c44,stable_restoration,1.0318,0.00646,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c45,stable_restoration,0.7453,0.00847,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c46,early_restoration,0.5103,0.0142,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c47,stable_restoration,0.9973,0.04542,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c48,stable_restoration,0.9627,0.03726,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c49,stable_restoration,0.9566,0.02247,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c50,stable_restoration,0.9332,0.00751,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c51,stable_restoration,0.8881,0.01698,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c52,stable_restoration,0.985,0.01067,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c53,early_restoration,0.5432,0.0115,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c54,stable_restoration,0.9138,0.02112,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c55,stable_restoration,1.0167,0.00663,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c56,stable_restoration,1.0107,0.00414,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c61,early_restoration,0.5644,0.02375,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c62,early_restoration,0.3794,0.00869,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c63,degraded,0.2162,0.00628,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r00c64,early_restoration,0.4205,0.00975,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r01c18,early_restoration,0.523,0.00608,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r01c34,degraded,0.1906,0.00571,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r01c35,early_restoration,0.655,0.01898,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r01c36,stable_restoration,0.6935,0.01602,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r01c37,stable_restoration,0.7565,0.01077,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r01c38,early_restoration,0.6523,0.01146,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r01c39,early_restoration,0.4509,0.00949,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r01c40,stable_restoration,0.8003,0.00336,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
afforestation,SAIH_AFF_r01c41,stable_restoration,1.0283,0.00408,,GEDI_rh98_m(pending),0,Landsat_C2_L2,regimeC_v0_CLCD+NDVI,v0
