Event_ID,ig_year,lat,lon,incid_name,incid_type,burn_ac,severity_ndvi,valid_burn,recovery_Rlast,recovery_slope,y2r,gedi_rh98_last,sar_vh_last,phase,structure_class,ig_year_source,optical_source,structure_source,label_method
CA3927312065620180903,2018,39.276,-120.632,NORTH,Wildfire,1270.0,0.3288,1,0.592,0.1062,5.0,9.35,-15.99,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4408412223820180819,2018,44.056,-122.213,TERWILLIGER,Wildfire,11400.0,0.1468,1,0.1344,0.0193,1.0,25.42,-15.68,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4258012299020180822,2018,42.587,-122.992,RAMSEY CANYON,Wildfire,2127.0,0.2329,1,0.4233,0.0836,4.0,16.09,-16.74,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4307312203920180715,2018,43.07,-122.011,TIMBER CRATER 6,Wildfire,3122.0,0.1571,1,0.2164,0.0638,,9.36,-18.71,degraded,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4275312292520180715,2018,42.743,-122.907,SNOW SHOE,Wildfire,3933.0,0.2479,1,0.3089,0.0555,,9.76,-16.47,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4293812266120180715,2018,42.942,-122.663,COLUMBUS,Wildfire,11687.0,0.1737,1,0.3337,0.0544,2.0,22.6,-15.99,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4282612280720180716,2018,42.828,-122.699,MILES,Wildfire,40343.0,0.1744,1,0.4613,0.0788,2.0,13.75,-15.59,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4209912285420180715,2018,42.087,-122.842,HENDRIX,Wildfire,1123.0,0.2464,1,0.4506,0.0657,4.0,17.14,-16.36,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4061612352420180904,2018,40.625,-123.512,KERLIN,Wildfire,1775.0,0.2432,1,0.5425,0.1052,4.0,4.91,-15.58,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4089112222820180809,2018,40.984,-122.279,HIRZ,Wildfire,46700.0,0.1813,1,0.4751,0.0853,2.0,19.66,-14.95,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4094312242720180905,2018,41.007,-122.462,DELTA,Wildfire,63732.0,0.3106,1,0.4537,0.0791,,9.46,-15.79,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4517811742720190728,2019,45.185,-117.429,GRANITE GULCH,Wildfire,5834.0,0.0902,1,0.2852,0.0938,1.0,7.13,-17.51,degraded,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4596611865220190731,2019,45.961,-118.668,UNNAMED,Unknown,1355.0,0.0164,0,,,1.0,1.27,-26.94,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4248911688820190828,2019,42.475,-116.855,RX TROUT SPRINGS BROADCAST,Prescribed Fire,11542.0,0.1017,1,1.1596,0.2803,3.0,3.32,-19.82,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4414911858320190930,2019,44.158,-118.588,UNNAMED,Prescribed Fire,1991.0,0.0648,1,0.6863,0.1713,1.0,4.32,-18.95,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4137212197020190922,2019,41.364,-121.962,ELK UNDERSTORY RX,Prescribed Fire,1296.0,0.0998,1,0.2155,0.0561,1.0,14.08,-19.04,degraded,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4265012175420190503,2019,42.658,-121.755,AKA NORTH II 25,Prescribed Fire,2747.0,0.0414,0,,,1.0,9.7,-18.43,low_severity,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4304512197320190915,2019,43.037,-121.97,UNNAMED,Prescribed Fire,9988.0,0.0738,1,0.9345,0.188,1.0,12.12,-17.96,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3719112078820191002,2019,37.194,-120.78,CALUR-FY20-RX-W,Prescribed Fire,1003.0,0.0119,0,,,1.0,1.65,-22.04,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4441112073920191031,2019,44.409,-120.738,UNNAMED,Prescribed Fire,1990.0,0.0297,0,,,1.0,9.53,-18.1,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4442412039420190903,2019,44.419,-120.396,CANYON 66,Prescribed Fire,4451.0,0.0321,0,,,1.0,7.72,-17.88,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4359512099520190923,2019,43.604,-120.976,DEADLOG RX 1001 NE,Prescribed Fire,2046.0,0.047,0,,,1.0,12.34,-19.15,low_severity,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4287611889620190315,2019,42.887,-118.894,ORMAR-FY19-RX-WEST CANAL,Prescribed Fire,4419.0,-0.0109,0,,,1.0,1.24,-23.28,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4383111898220190520,2019,43.825,-118.972,UNNAMED,Prescribed Fire,1538.0,-0.0172,0,,,1.0,9.75,-18.98,low_severity,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3755212015420190901,2019,37.552,-120.151,UNNAMED,Unknown,1100.0,0.0663,1,0.8016,0.1692,1.0,4.16,-18.53,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3760511996620191006,2019,37.608,-119.932,BRICEBURG,Wildfire,5556.0,0.2478,1,0.634,0.1305,4.0,7.8,-16.78,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3782611887220190726,2019,37.835,-118.904,SPRINGS,Wildfire,6018.0,0.0263,0,,,1.0,6.2,-19.01,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4428511846020190809,2019,44.271,-118.442,204 COW,Wildfire,10044.0,0.1837,1,0.4815,0.1216,4.0,9.64,-17.03,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4005312066920190904,2019,40.09,-120.585,WALKER,Wildfire,58747.0,0.2217,1,0.652,0.1422,4.0,8.06,-17.76,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3872412014620191010,2019,38.706,-120.16,CAPLES,Wildfire,3508.0,0.1849,1,0.4834,0.1154,4.0,12.66,-17.04,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4504511946220190805,2019,45.064,-119.404,163 HK COMPLEX,Wildfire,2099.0,0.1232,1,-0.218,-0.0255,3.0,7.59,-19.5,degraded,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4186612267020190905,2019,41.866,-122.661,LIME,Wildfire,1863.0,0.1678,1,0.5301,0.1182,4.0,10.48,-12.72,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4010912278920190905,2019,40.118,-122.823,SOUTH,Wildfire,5649.0,0.1743,1,0.7087,0.1764,4.0,9.39,-15.03,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4088712301420190905,2019,40.883,-123.002,MIDDLE,Wildfire,1368.0,0.2389,1,0.6792,0.1408,3.0,8.81,-14.89,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
